id,slug,parent_id,icon,order,sale_only,applicable_to
01K7CT80YTE5S7DKYY3WC1EJDD,baby-food,01K7CT80YSN023JF6RANSHAM9B,🍽️,0,false,market
01K7CT80YV4MX7CPG1KD82XMBH,breast-pumps,01K7CT80YSN023JF6RANSHAM9B,👶,0,false,market
01K7CT80YVJH4KHZT8P50JT2Q1,kids-hygiene,01K7CT80YF6N9W7C9ATZB1V6C6,🧼,0,true,market
01K7CT80YVP83EZD4KGE0C505J,warmers-sterilizers,01K7CT80YSN023JF6RANSHAM9B,♨️,0,false,market
01K7CT80YWBXPDVHXBA10EKD14,diapers,01K7CT80YVJH4KHZT8P50JT2Q1,👶,0,true,market
01K7CT80YWY0ZANQSBPBTAJR1M,wipes,01K7CT80YVJH4KHZT8P50JT2Q1,🧻,0,true,market
01K7CT80YX1E51ANK70XNE83S9,baby-cosmetics,01K7CT80YVJH4KHZT8P50JT2Q1,🧴,0,true,market
01K7CT80YXXCJX8ZYBYFWCDXPZ,bath-accessories,01K7CT80YVJH4KHZT8P50JT2Q1,🛁,0,false,market
01K7CT80YY4S5S2PSHNZPXNTEP,potty-training,01K7CT80YVJH4KHZT8P50JT2Q1,🚽,0,true,market
01K7CT80YYBS8RZ5KT08DQ89CF,toys,01K7CT80YF6N9W7C9ATZB1V6C6,🧸,0,false,market
01K7CT80YZ4ZHNVZAWVHQ53QXK,baby-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🧸,0,false,market
01K7CT80YZR8NQP28HMJ767N5B,dolls,01K7CT80YYBS8RZ5KT08DQ89CF,🪆,0,false,market
01K7CT80Z0F9FQZM7SS525Y40Z,toy-vehicles,01K7CT80YYBS8RZ5KT08DQ89CF,🚗,0,false,market
01K7CT80Z0FAE0J6X73W5G5K86,construction-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🏗️,0,false,market
01K7CT80Z1X88QNST94TJBAB7X,educational-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🧸,0,false,market
01K7CT80Z2J184W2KE56WXRWDZ,plush-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🧸,0,false,market
01K7CT80Z2VZQ4V521N5AWM50W,board-games,01K7CT80YYBS8RZ5KT08DQ89CF,🎲,0,false,market
01K7CT80Z335C9WPT2HTXJKHR3,musical-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🧸,0,false,market
01K7CT80Z3T8P4EN6RBQXVR326,rc-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🧸,0,false,market
01K7CT80Z44YWFBMX4T5W7689P,outdoor-toys,01K7CT80YYBS8RZ5KT08DQ89CF,🧸,0,false,market
01K7CT80Z4T3PWJGKH0F8C7591,school-supplies,01K7CT80YF6N9W7C9ATZB1V6C6,🎓,0,false,market
01K7CT80Z5R2RD0AQB2ZGQDPZX,school-bags,01K7CT80Z4T3PWJGKH0F8C7591,🎒,0,false,market
01K7CT80Z6HD8QT8QFBKFSTBG7,stationery,01K7CT80Z4T3PWJGKH0F8C7591,✏️,0,false,market
01K7CT80Z6KEFDYBW4RNG81X0Z,school-books,01K7CT80Z4T3PWJGKH0F8C7591,📚,0,false,market
01K7CT80Z7M3QP0FR82CNM0JES,hobby-sports,01K7M9YVK4G7MYJBP0G4QYQDQQ,⚽,6,false,market
01K7CT80Z7QYEDTS5FGRDFNBCC,sports-equipment,01K7CT80Z7M3QP0FR82CNM0JES,🏋️,0,false,market
01K7CT80Z876CDK1CCP4ZZD0G8,gym-equipment,01K7CT80Z7QYEDTS5FGRDFNBCC,⚽,0,false,market
01K7CT80Z8D54CJ37K5RAA43A9,cardio,01K7CT80Z7QYEDTS5FGRDFNBCC,⚽,0,false,market
01K7CT80Z9TW4T85ZMKG23SE5K,sports-nutrition,01K7CT80Z7QYEDTS5FGRDFNBCC,⚽,0,false,market
01K7CT80Z9ZX7WGVH6YRRQGRTE,weights,01K7CT80Z7QYEDTS5FGRDFNBCC,⚽,0,false,market
01K7CT80ZA8M6NY3BXF8YFJJ3M,skis,01K7CT80ZAXZZQT769TZ3DX3BV,⛷️,0,false,market
01K7CT80ZAXZZQT769TZ3DX3BV,winter-sports,01K7CT80Z7M3QP0FR82CNM0JES,⛷️,0,false,market
01K7CT80ZBTX6DTPSJACDT9A74,snowboards,01K7CT80ZAXZZQT769TZ3DX3BV,🏂,0,false,market
01K7CT80ZBY84WTZHPXB4GDWWS,ice-skates,01K7CT80ZAXZZQT769TZ3DX3BV,⚽,0,false,market
01K7CT80ZCQ89P4RXDFNM1XQ96,winter-gear,01K7CT80ZAXZZQT769TZ3DX3BV,⚽,0,false,market
01K7CT80ZD01EY2Y8AKG2W3BPZ,sleeping-bags,01K7MMNEJRP7PF4AGSGAE2WEGY,🛏️,0,false,market
01K7CT80ZDS0W9HPNSV5XT2RD8,tents,01K7MMNEJRP7PF4AGSGAE2WEGY,⛺,0,false,market
01K7CT80ZE94KTR7JD5J57DCQZ,hiking-backpacks,01K7MMNEJRP7PF4AGSGAE2WEGY,🎒,0,false,market
01K7CT80ZEKMCGMYNAHR1ZE1TD,camping-cookware,01K7MMNEJRP7PF4AGSGAE2WEGY,🍳,0,false,market
01K7CT80ZF47EFAKESPMN7DMNS,water-bottles,01K7MMNEJRP7PF4AGSGAE2WEGY,🍵,0,false,market
01K7CT80ZFQG659XPHB0NB247B,fishing-hunting,01K7CT80Z7M3QP0FR82CNM0JES,🎣,0,false,market
01K7CT80ZG3QGYDTJTTX7GY8SH,fish-finders,01K7CT80ZFQG659XPHB0NB247B,🐠,0,false,market
01K7CT80ZGBM6PS8V7PDHXFRR9,fishing-rods-reels,01K7CT80ZFQG659XPHB0NB247B,🎣,0,false,market
01K7CT80ZGYXK2QWF13ZH6SA0W,fishing-tackle,01K7CT80ZFQG659XPHB0NB247B,🎣,0,false,market
01K7CT80ZH3KPG4WRFV954MZ27,hunting-gear,01K7CT80ZFQG659XPHB0NB247B,🎣,0,false,market
01K7CT80ZJ4075J7WYFYB8E2GH,knives,01K7CT80ZFQG659XPHB0NB247B,🎣,0,false,market
01K7CT80ZJ4D8T7EMYMF6AWR32,musical-instruments,01K7CT80Z7M3QP0FR82CNM0JES,🎸,0,false,market
01K7CT80ZKMYNA0052H6KS8J4A,guitars,01K7CT80ZJ4D8T7EMYMF6AWR32,🎸,0,false,market
01K7CT80ZKT49YFGRVJGRET5ZV,keyboards-pianos,01K7CT80ZJ4D8T7EMYMF6AWR32,⌨️,0,false,market
01K7CT80ZM5Z69HJWEHHT21WR2,wind-instruments,01K7CT80ZJ4D8T7EMYMF6AWR32,🎺,0,false,market
01K7CT80ZMSSKB0KDWPKGG60E6,drums,01K7CT80ZJ4D8T7EMYMF6AWR32,🎵,0,false,market
01K7CT80ZNA3APQWME7A07N3YN,music-accessories,01K7CT80ZJ4D8T7EMYMF6AWR32,🎵,0,false,market
01K7CT80ZNAVTJ3CJPA81C4ZKH,audio-equipment,01K7CT80ZJ4D8T7EMYMF6AWR32,🎵,0,false,market
01K7CT80ZP4V375EHJ6YV39E9V,collectibles,01K7CT80Z7M3QP0FR82CNM0JES,🏆,0,false,market
01K7CT80ZPZYVVNBDBYKXDSPDW,coins,01K7CT80ZP4V375EHJ6YV39E9V,🪙,0,false,market
01K7CT80ZQJ66A9QX8KEAKARMV,stamps,01K7CT80ZP4V375EHJ6YV39E9V,📮,0,false,market
01K7CT80ZQK97D1CX20NPB35K4,antiques,01K7CT80ZP4V375EHJ6YV39E9V,🏺,0,false,market
01K7CT80ZRYKPNGY14WQ7VTCE6,models-figures,01K7CT80ZP4V375EHJ6YV39E9V,🚂,0,false,market
01K7CT80ZS1GZPJN0A7QMCH6KG,books-magazines,01K7CT80Z7M3QP0FR82CNM0JES,📚,0,false,market
01K7CT80ZS5CCTS1M0QMQR0Z7B,fiction,01K7CT80ZS1GZPJN0A7QMCH6KG,📖,0,false,market
